sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp
MDA231-9x-cell1000_S1000_R1_001	917953	784434	0.15	104	0.891	784434	104	0.145452980708163	arc_well_mda231	0.0143648288379409
MDA231-9x-cell1006_S1006_R1_001	1113567	980426	0.12	148	0.947	980426	148	0.119562630717325	arc_well_mda231	0.00479521137695951
MDA231-9x-cell1007_S1007_R1_001	740308	643630	0.13	90	0.895	643630	90	0.130591591607817	arc_well_mda231	0.0164154600293806
MDA231-9x-cell1008_S1008_R1_001	1274611	1079973	0.15	156	0.901	1079973	156	0.152703844545512	arc_well_mda231	0.0128870667301299
MDA231-9x-cell1013_S1013_R1_001	942638	783950	0.17	118	0.951	783950	118	0.168344581907371	arc_well_mda231	0.00583213296503838
MDA231-9x-cell1016_S1016_R1_001	1023577	858045	0.16	128	0.97	858045	128	0.161719147655721	arc_well_mda231	0.00739371843837046
MDA231-9x-cell1038_S1038_R1_001	1252018	1040222	0.17	150	0.894	1040222	150	0.169163702119299	arc_well_mda231	0.0119813694418359
MDA231-9x-cell1039_S1039_R1_001	829470	689303	0.17	102	0.979	689303	102	0.168983808938238	arc_well_mda231	0.0068138168994617
MDA231-9x-cell104_S104_R1_001	769445	635333	0.17	96	0.98	635333	96	0.174297058269272	arc_well_mda231	0.00220415888799525
MDA231-9x-cell1050_S1050_R1_001	1078670	902632	0.16	128	0.83	902632	128	0.163199124848193	arc_well_mda231	0.0136343496309683
MDA231-9x-cell1051_S1051_R1_001	1008265	848538	0.16	128	0.988	848538	128	0.158417677892221	arc_well_mda231	0.00398087902193049
MDA231-9x-cell1055_S1055_R1_001	977364	810745	0.17	122	0.969	810745	122	0.17047793861857	arc_well_mda231	0.00351183692618039
MDA231-9x-cell1059_S1059_R1_001	1225949	1027449	0.16	150	0.826	1027449	150	0.161915381471823	arc_well_mda231	0.00552676437797679
MDA231-9x-cell1064_S1064_R1_001	844568	703918	0.17	106	0.963	703918	106	0.166534843849163	arc_well_mda231	0.00382535110101419
MDA231-9x-cell1067_S1067_R1_001	945149	792409	0.16	108	0.918	792409	108	0.161604149187059	arc_well_mda231	0.0154501115513798
MDA231-9x-cell1068_S1068_R1_001	806272	675340	0.16	104	0.986	675340	104	0.162391847912367	arc_well_mda231	0.00447045490899559
MDA231-9x-cell1073_S1073_R1_001	981094	836867	0.15	116	0.842	836867	116	0.147006301129148	arc_well_mda231	0.0141800162615652
MDA231-9x-cell1080_S1080_R1_001	1055133	867852	0.18	116	0.865	867852	116	0.177495159378012	arc_well_mda231	0.0131101480403966
MDA231-9x-cell1081_S1081_R1_001	1498523	1230822	0.18	182	0.855	1230822	182	0.178643237374401	arc_well_mda231	0.00685618301769692
MDA231-9x-cell1082_S1082_R1_001	695914	578856	0.17	84	0.83	578856	84	0.168207565877393	arc_well_mda231	0.00701589169537171
MDA231-9x-cell1091_S1091_R1_001	1062794	876915	0.17	130	0.893	876915	130	0.174896546273314	arc_well_mda231	0.0154967741073949
MDA231-9x-cell1092_S1092_R1_001	1119433	917202	0.18	126	0.91	917202	126	0.180654849374639	arc_well_mda231	0.0186864874067711
MDA231-9x-cell1097_S1097_R1_001	898032	732828	0.18	108	0.984	732828	108	0.183962264150943	arc_well_mda231	0.00610756047335351
MDA231-9x-cell1098_S1098_R1_001	1026034	838068	0.18	128	0.996	838068	128	0.183196658200411	arc_well_mda231	0.00391616140666657
MDA231-9x-cell1105_S1105_R1_001	1497443	1218477	0.19	178	0.937	1218477	178	0.186294904046431	arc_well_mda231	0.00291129369273019
MDA231-9x-cell1109_S1109_R1_001	1141251	952696	0.17	140	0.915	952696	140	0.165217817990959	arc_well_mda231	0.00526259126916851
MDA231-9x-cell1111_S1111_R1_001	910369	744564	0.18	112	0.965	744564	112	0.182129444214379	arc_well_mda231	0.0042977250832639
MDA231-9x-cell1113_S1113_R1_001	742165	619419	0.17	92	0.941	619419	92	0.165389098111606	arc_well_mda231	0.0035381175852735
MDA231-9x-cell1116_S1116_R1_001	1011259	850161	0.16	122	0.904	850161	122	0.159304391852137	arc_well_mda231	0.0142311799440528
MDA231-9x-cell1117_S1117_R1_001	926194	770431	0.17	114	0.843	770431	114	0.168175349872705	arc_well_mda231	0.0184695943454674
MDA231-9x-cell1120_S1120_R1_001	1501519	1221048	0.19	184	0.967	1221048	184	0.186791509131753	arc_well_mda231	0.00436669014453154
MDA231-9x-cell1121_S1121_R1_001	1000331	824502	0.18	124	0.928	824502	124	0.175770819858627	arc_well_mda231	0.00315875528374008
MDA231-9x-cell1123_S1123_R1_001	978480	811980	0.17	124	0.989	811980	124	0.170161883738043	arc_well_mda231	0.00286801738920507
MDA231-9x-cell1124_S1124_R1_001	873139	717645	0.18	106	0.962	717645	106	0.17808619246191	arc_well_mda231	0.00475625020984484
MDA231-9x-cell113_S113_R1_001	816743	671438	0.18	102	0.988	671438	102	0.177907860857087	arc_well_mda231	0.00485764184149274
MDA231-9x-cell1132_S1132_R1_001	917316	745772	0.19	114	0.929	745772	114	0.187006440528673	arc_well_mda231	0.00598388035207034
MDA231-9x-cell1134_S1134_R1_001	1044661	887252	0.15	134	0.968	887252	134	0.150679502728636	arc_well_mda231	0.00473374572308478
MDA231-9x-cell1139_S1139_R1_001	917170	754497	0.18	116	0.995	754497	116	0.177364065549462	arc_well_mda231	0.00352491703629486
MDA231-9x-cell114_S114_R1_001	1005170	830873	0.17	122	0.849	830873	122	0.173400519315141	arc_well_mda231	0.00315532980659849
MDA231-9x-cell1143_S1143_R1_001	890859	737285	0.17	112	0.956	737285	112	0.17238867205697	arc_well_mda231	0.00473370623421629
MDA231-9x-cell1144_S1144_R1_001	956253	785161	0.18	118	0.985	785161	118	0.178919177247026	arc_well_mda231	0.00360893806424023
MDA231-9x-cell1156_S1156_R1_001	979790	843429	0.14	120	0.845	843429	120	0.139173700486839	arc_well_mda231	0.0199299379656757
MDA231-9x-cell1159_S1159_R1_001	835856	696392	0.17	104	0.948	696392	104	0.166851706514041	arc_well_mda231	0.00311477435868037
MDA231-9x-cell117_S117_R1_001	896322	740881	0.17	110	0.831	740881	110	0.173420935779776	arc_well_mda231	0.00289787892219727
MDA231-9x-cell1180_S1180_R1_001	942350	773713	0.18	118	0.965	773713	118	0.17895367963071	arc_well_mda231	0.00737857488999909
MDA231-9x-cell1184_S1184_R1_001	1200745	994151	0.17	150	0.879	994151	150	0.172054849281071	arc_well_mda231	0.0070157592691093
MDA231-9x-cell1189_S1189_R1_001	1369456	1142348	0.17	170	0.914	1142348	170	0.165838113820378	arc_well_mda231	0.00792067791071436
MDA231-9x-cell119_S119_R1_001	1327079	1110324	0.16	164	0.858	1110324	164	0.163332401462159	arc_well_mda231	0.00426789218707599
MDA231-9x-cell1190_S1190_R1_001	844148	703838	0.17	106	0.899	703838	106	0.166214929135649	arc_well_mda231	0.020074105180503
MDA231-9x-cell1204_S1204_R1_001	1262653	1037784	0.18	148	0.879	1037784	148	0.178092476713713	arc_well_mda231	0.0134580559835133
MDA231-9x-cell1209_S1209_R1_001	1041274	865731	0.17	126	0.875	865731	126	0.168584829737418	arc_well_mda231	0.0114245337754607
MDA231-9x-cell121_S121_R1_001	1034794	843686	0.18	126	0.986	843686	126	0.184682168624866	arc_well_mda231	0.00334415545942949
MDA231-9x-cell1210_S1210_R1_001	1283210	1088406	0.15	164	0.896	1088406	164	0.151809914199546	arc_well_mda231	0.00351490249179769
MDA231-9x-cell1215_S1215_R1_001	467342	387427	0.17	54	0.85	387427	54	0.170998968635389	arc_well_mda231	0.00961342127776374
MDA231-9x-cell1223_S1223_R1_001	882098	740322	0.16	112	0.963	740322	112	0.160725905738365	arc_well_mda231	0.00727156908854128
MDA231-9x-cell1230_S1230_R1_001	1217693	1005502	0.17	150	0.861	1005502	150	0.174256565489003	arc_well_mda231	0.0122706198486648
